"Step","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed - test_accuracy","Squeeze-and-Excitation Unfreezed - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed - test_accuracy__MAX","Add-New-Block Unfreezed WDA - test_accuracy","Add-New-Block Unfreezed WDA - test_accuracy__MIN","Add-New-Block Unfreezed WDA - test_accuracy__MAX","Remove-2-Blocks Unfreezed WDA - test_accuracy","Remove-2-Blocks Unfreezed WDA - test_accuracy__MIN","Remove-2-Blocks Unfreezed WDA - test_accuracy__MAX","Remove-1-Block Unfreezed WDA - test_accuracy","Remove-1-Block Unfreezed WDA - test_accuracy__MIN","Remove-1-Block Unfreezed WDA - test_accuracy__MAX","Add-New-Block Unfreezed - test_accuracy","Add-New-Block Unfreezed - test_accuracy__MIN","Add-New-Block Unfreezed - test_accuracy__MAX","Remove-2-Blocks Unfreezed - test_accuracy","Remove-2-Blocks Unfreezed - test_accuracy__MIN","Remove-2-Blocks Unfreezed - test_accuracy__MAX","Remove-1-Block Unfreezed - test_accuracy","Remove-1-Block Unfreezed - test_accuracy__MIN","Remove-1-Block Unfreezed - test_accuracy__MAX"
"20","0.9436188811188811","0.9436188811188811","0.9436188811188811","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.9383741258741258","0.9383741258741258","0.9383741258741258","0.8715034965034965","0.8715034965034965","0.8715034965034965","0.9007867132867133","0.9007867132867133","0.9007867132867133","0.9414335664335665","0.9414335664335665","0.9414335664335665","0.8693181818181818","0.8693181818181818","0.8693181818181818","0.9278846153846154","0.9278846153846154","0.9278846153846154"
"21","0.9449300699300699","0.9449300699300699","0.9449300699300699","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.9436188811188811","0.9436188811188811","0.9436188811188811","0.8527097902097902","0.8527097902097902","0.8527097902097902","0.9073426573426573","0.9073426573426573","0.9073426573426573","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.8662587412587412","0.8662587412587412","0.8662587412587412","0.930506993006993","0.930506993006993","0.930506993006993"
"22","0.9493006993006993","0.9493006993006993","0.9493006993006993","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.8522727272727273","0.8522727272727273","0.8522727272727273","0.9243881118881119","0.9243881118881119","0.9243881118881119","0.9379370629370629","0.9379370629370629","0.9379370629370629","0.8487762237762237","0.8487762237762237","0.8487762237762237","0.9178321678321678","0.9178321678321678","0.9178321678321678"
"23","0.9431818181818182","0.9431818181818182","0.9431818181818182","","","","0.9440559440559441","0.9440559440559441","0.9440559440559441","0.8597027972027972","0.8597027972027972","0.8597027972027972","0.923513986013986","0.923513986013986","0.923513986013986","0.9318181818181818","0.9318181818181818","0.9318181818181818","0.8553321678321678","0.8553321678321678","0.8553321678321678","0.9243881118881119","0.9243881118881119","0.9243881118881119"
"24","0.9366258741258742","0.9366258741258742","0.9366258741258742","","","","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.8697552447552448","0.8697552447552448","0.8697552447552448","0.923513986013986","0.923513986013986","0.923513986013986","0.9383741258741258","0.9383741258741258","0.9383741258741258","0.8623251748251748","0.8623251748251748","0.8623251748251748","0.9147727272727273","0.9147727272727273","0.9147727272727273"
"25","0.9366258741258742","0.9366258741258742","0.9366258741258742","","","","0.9405594405594405","0.9405594405594405","0.9405594405594405","0.8811188811188811","0.8811188811188811","0.8811188811188811","0.9291958041958042","0.9291958041958042","0.9291958041958042","0.9427447552447552","0.9427447552447552","0.9427447552447552","0.8662587412587412","0.8662587412587412","0.8662587412587412","0.923513986013986","0.923513986013986","0.923513986013986"
"26","0.9414335664335665","0.9414335664335665","0.9414335664335665","","","","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.868006993006993","0.868006993006993","0.868006993006993","0.930506993006993","0.930506993006993","0.930506993006993","0.9414335664335665","0.9414335664335665","0.9414335664335665","0.853583916083916","0.853583916083916","0.853583916083916","0.9204545454545454","0.9204545454545454","0.9204545454545454"
"27","0.9313811188811189","0.9313811188811189","0.9313811188811189","","","","0.9353146853146853","0.9353146853146853","0.9353146853146853","0.8522727272727273","0.8522727272727273","0.8522727272727273","0.9187062937062938","0.9187062937062938","0.9187062937062938","0.9357517482517482","0.9357517482517482","0.9357517482517482","0.8570804195804196","0.8570804195804196","0.8570804195804196","0.923513986013986","0.923513986013986","0.923513986013986"
"28","0.9274475524475524","0.9274475524475524","0.9274475524475524","","","","0.9147727272727273","0.9147727272727273","0.9147727272727273","0.8693181818181818","0.8693181818181818","0.8693181818181818","0.9208916083916084","0.9208916083916084","0.9208916083916084","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.8693181818181818","0.8693181818181818","0.8693181818181818","0.923513986013986","0.923513986013986","0.923513986013986"
"29","0.9357517482517482","0.9357517482517482","0.9357517482517482","","","","0.9300699300699301","0.9300699300699301","0.9300699300699301","0.8798076923076923","0.8798076923076923","0.8798076923076923","0.9313811188811189","0.9313811188811189","0.9313811188811189","0.9392482517482518","0.9392482517482518","0.9392482517482518","0.8846153846153846","0.8846153846153846","0.8846153846153846","0.9208916083916084","0.9208916083916084","0.9208916083916084"
"30","0.9366258741258742","0.9366258741258742","0.9366258741258742","","","","0.9287587412587412","0.9287587412587412","0.9287587412587412","0.8758741258741258","0.8758741258741258","0.8758741258741258","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.8588286713286714","0.8588286713286714","0.8588286713286714","0.9248251748251748","0.9248251748251748","0.9248251748251748"
"31","0.9383741258741258","0.9383741258741258","0.9383741258741258","","","","0.9287587412587412","0.9287587412587412","0.9287587412587412","0.8854895104895105","0.8854895104895105","0.8854895104895105","0.9379370629370629","0.9379370629370629","0.9379370629370629","0.9449300699300699","0.9449300699300699","0.9449300699300699","0.8793706293706294","0.8793706293706294","0.8793706293706294","0.9217657342657343","0.9217657342657343","0.9217657342657343"
"32","","","","","","","0.9256993006993007","0.9256993006993007","0.9256993006993007","0.8719405594405595","0.8719405594405595","0.8719405594405595","0.9318181818181818","0.9318181818181818","0.9318181818181818","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.8854895104895105","0.8854895104895105","0.8854895104895105","0.9248251748251748","0.9248251748251748","0.9248251748251748"
"33","","","","","","","0.9375","0.9375","0.9375","0.8671328671328671","0.8671328671328671","0.8671328671328671","0.923951048951049","0.923951048951049","0.923951048951049","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.8649475524475524","0.8649475524475524","0.8649475524475524","0.9265734265734266","0.9265734265734266","0.9265734265734266"
"34","","","","","","","0.9331293706293706","0.9331293706293706","0.9331293706293706","0.8719405594405595","0.8719405594405595","0.8719405594405595","0.9156468531468531","0.9156468531468531","0.9156468531468531","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.8815559440559441","0.8815559440559441","0.8815559440559441","0.9291958041958042","0.9291958041958042","0.9291958041958042"
"35","","","","","","","0.9326923076923077","0.9326923076923077","0.9326923076923077","0.8881118881118881","0.8881118881118881","0.8881118881118881","0.9230769230769231","0.9230769230769231","0.9230769230769231","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.8859265734265734","0.8859265734265734","0.8859265734265734","0.9077797202797203","0.9077797202797203","0.9077797202797203"
"36","","","","","","","0.9344405594405595","0.9344405594405595","0.9344405594405595","0.8868006993006993","0.8868006993006993","0.8868006993006993","0.9256993006993007","0.9256993006993007","0.9256993006993007","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.8640734265734266","0.8640734265734266","0.8640734265734266","0.9243881118881119","0.9243881118881119","0.9243881118881119"
"37","","","","","","","0.930506993006993","0.930506993006993","0.930506993006993","0.9016608391608392","0.9016608391608392","0.9016608391608392","0.9156468531468531","0.9156468531468531","0.9156468531468531","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.8763111888111889","0.8763111888111889","0.8763111888111889","0.9213286713286714","0.9213286713286714","0.9213286713286714"
"38","","","","","","","0.9383741258741258","0.9383741258741258","0.9383741258741258","0.8872377622377622","0.8872377622377622","0.8872377622377622","0.9208916083916084","0.9208916083916084","0.9208916083916084","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.8767482517482518","0.8767482517482518","0.8767482517482518","0.8894230769230769","0.8894230769230769","0.8894230769230769"
"39","","","","","","","0.9375","0.9375","0.9375","0.8439685314685315","0.8439685314685315","0.8439685314685315","0.9331293706293706","0.9331293706293706","0.9331293706293706","0.9405594405594405","0.9405594405594405","0.9405594405594405","0.8789335664335665","0.8789335664335665","0.8789335664335665","0.9256993006993007","0.9256993006993007","0.9256993006993007"
"40","","","","","","","0.9361888111888111","0.9361888111888111","0.9361888111888111","0.8776223776223776","0.8776223776223776","0.8776223776223776","0.9340034965034965","0.9340034965034965","0.9340034965034965","0.9353146853146853","0.9353146853146853","0.9353146853146853","0.8806818181818182","0.8806818181818182","0.8806818181818182","0.9200174825174825","0.9200174825174825","0.9200174825174825"
"41","","","","","","","0.9357517482517482","0.9357517482517482","0.9357517482517482","0.8894230769230769","0.8894230769230769","0.8894230769230769","0.9178321678321678","0.9178321678321678","0.9178321678321678","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.875","0.875","0.875","0.9278846153846154","0.9278846153846154","0.9278846153846154"
"42","","","","","","","","","","0.8933566433566433","0.8933566433566433","0.8933566433566433","0.9230769230769231","0.9230769230769231","0.9230769230769231","0.9370629370629371","0.9370629370629371","0.9370629370629371","0.881993006993007","0.881993006993007","0.881993006993007","0.9265734265734266","0.9265734265734266","0.9265734265734266"
"43","","","","","","","","","","0.8977272727272727","0.8977272727272727","0.8977272727272727","0.9208916083916084","0.9208916083916084","0.9208916083916084","0.9405594405594405","0.9405594405594405","0.9405594405594405","0.8837412587412588","0.8837412587412588","0.8837412587412588","0.9217657342657343","0.9217657342657343","0.9217657342657343"
"44","","","","","","","","","","0.8872377622377622","0.8872377622377622","0.8872377622377622","0.9077797202797203","0.9077797202797203","0.9077797202797203","0.9375","0.9375","0.9375","0.8758741258741258","0.8758741258741258","0.8758741258741258","0.9217657342657343","0.9217657342657343","0.9217657342657343"
"45","","","","","","","","","","0.8741258741258742","0.8741258741258742","0.8741258741258742","0.9112762237762237","0.9112762237762237","0.9112762237762237","0.9427447552447552","0.9427447552447552","0.9427447552447552","0.8846153846153846","0.8846153846153846","0.8846153846153846","0.923513986013986","0.923513986013986","0.923513986013986"
