"Step","LeNet - test_accuracy","LeNet - test_accuracy__MIN","LeNet - test_accuracy__MAX","LeNet - train_accuracy","LeNet - train_accuracy__MIN","LeNet - train_accuracy__MAX"
"40","0.2740909090909091","0.2740909090909091","0.2740909090909091","0.2564367816091954","0.2564367816091954","0.2564367816091954"
"41","0.26681818181818184","0.26681818181818184","0.26681818181818184","0.2552873563218391","0.2552873563218391","0.2552873563218391"
"42","0.2786363636363636","0.2786363636363636","0.2786363636363636","0.25298850574712645","0.25298850574712645","0.25298850574712645"
"43","0.27545454545454545","0.27545454545454545","0.27545454545454545","0.2545977011494253","0.2545977011494253","0.2545977011494253"
"44","0.2768181818181818","0.2768181818181818","0.2768181818181818","0.26022988505747124","0.26022988505747124","0.26022988505747124"
"45","0.27045454545454545","0.27045454545454545","0.27045454545454545","0.2540229885057471","0.2540229885057471","0.2540229885057471"
"46","0.26272727272727275","0.26272727272727275","0.26272727272727275","0.26045977011494253","0.26045977011494253","0.26045977011494253"
"47","0.275","0.275","0.275","0.2577011494252874","0.2577011494252874","0.2577011494252874"
"48","0.265","0.265","0.265","0.26068965517241377","0.26068965517241377","0.26068965517241377"
"49","0.2759090909090909","0.2759090909090909","0.2759090909090909","0.2660919540229885","0.2660919540229885","0.2660919540229885"
"50","0.28136363636363637","0.28136363636363637","0.28136363636363637","0.2649425287356322","0.2649425287356322","0.2649425287356322"
"51","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.26471264367816094","0.26471264367816094","0.26471264367816094"
"52","0.27954545454545454","0.27954545454545454","0.27954545454545454","0.2642528735632184","0.2642528735632184","0.2642528735632184"
"53","0.2759090909090909","0.2759090909090909","0.2759090909090909","0.2633333333333333","0.2633333333333333","0.2633333333333333"
"54","0.27545454545454545","0.27545454545454545","0.27545454545454545","0.26827586206896553","0.26827586206896553","0.26827586206896553"
"55","0.2722727272727273","0.2722727272727273","0.2722727272727273","0.2598850574712644","0.2598850574712644","0.2598850574712644"
"56","0.2731818181818182","0.2731818181818182","0.2731818181818182","0.26770114942528733","0.26770114942528733","0.26770114942528733"
"57","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2616091954022989","0.2616091954022989","0.2616091954022989"
"58","0.28136363636363637","0.28136363636363637","0.28136363636363637","0.26988505747126434","0.26988505747126434","0.26988505747126434"
"59","0.285","0.285","0.285","0.2739080459770115","0.2739080459770115","0.2739080459770115"
