"Step","Width only variation : 2048 - test_loss","Width only variation : 2048 - test_loss__MIN","Width only variation : 2048 - test_loss__MAX","Width only variation : 2048 - train_loss","Width only variation : 2048 - train_loss__MIN","Width only variation : 2048 - train_loss__MAX","Width only variation : 1024 - test_loss","Width only variation : 1024 - test_loss__MIN","Width only variation : 1024 - test_loss__MAX","Width only variation : 1024 - train_loss","Width only variation : 1024 - train_loss__MIN","Width only variation : 1024 - train_loss__MAX","Width only variation : 512 - test_loss","Width only variation : 512 - test_loss__MIN","Width only variation : 512 - test_loss__MAX","Width only variation : 512 - train_loss","Width only variation : 512 - train_loss__MIN","Width only variation : 512 - train_loss__MAX","Width only variation : 256 - test_loss","Width only variation : 256 - test_loss__MIN","Width only variation : 256 - test_loss__MAX","Width only variation : 256 - train_loss","Width only variation : 256 - train_loss__MIN","Width only variation : 256 - train_loss__MAX","Width only variation : 128 - test_loss","Width only variation : 128 - test_loss__MIN","Width only variation : 128 - test_loss__MAX","Width only variation : 128 - train_loss","Width only variation : 128 - train_loss__MIN","Width only variation : 128 - train_loss__MAX","Width only variation : 64 - test_loss","Width only variation : 64 - test_loss__MIN","Width only variation : 64 - test_loss__MAX","Width only variation : 64 - train_loss","Width only variation : 64 - train_loss__MIN","Width only variation : 64 - train_loss__MAX","Width only variation : 32 - test_loss","Width only variation : 32 - test_loss__MIN","Width only variation : 32 - test_loss__MAX","Width only variation : 32 - train_loss","Width only variation : 32 - train_loss__MIN","Width only variation : 32 - train_loss__MAX"
"20","2.1201774536479605","2.1201774536479605","2.1201774536479605","1.6917588334796072","1.6917588334796072","1.6917588334796072","2.1808880294453012","2.1808880294453012","2.1808880294453012","1.6817109545894053","1.6817109545894053","1.6817109545894053","2.091040354642001","2.091040354642001","2.091040354642001","1.7019848998935743","1.7019848998935743","1.7019848998935743","2.088870518424294","2.088870518424294","2.088870518424294","1.7750762728987068","1.7750762728987068","1.7750762728987068","2.062060010216453","2.062060010216453","2.062060010216453","1.8841096408339753","1.8841096408339753","1.8841096408339753","2.129273788278753","2.129273788278753","2.129273788278753","2.0651746760839704","2.0651746760839704","2.0651746760839704","2.163599589087746","2.163599589087746","2.163599589087746","2.124506127149209","2.124506127149209","2.124506127149209"
"21","2.134274313666604","2.134274313666604","2.134274313666604","1.6732883803049723","1.6732883803049723","1.6732883803049723","2.124431582364169","2.124431582364169","2.124431582364169","1.6555286599301744","1.6555286599301744","1.6555286599301744","2.1402687272158536","2.1402687272158536","2.1402687272158536","1.7144928247627171","1.7144928247627171","1.7144928247627171","2.0843752401525326","2.0843752401525326","2.0843752401525326","1.7515083656091799","1.7515083656091799","1.7515083656091799","2.06173190983859","2.06173190983859","2.06173190983859","1.8752887194184051","1.8752887194184051","1.8752887194184051","2.13377121665261","2.13377121665261","2.13377121665261","2.066919858209018","2.066919858209018","2.066919858209018","2.1581033567948773","2.1581033567948773","2.1581033567948773","2.116076583643069","2.116076583643069","2.116076583643069"
"22","2.1292770619825885","2.1292770619825885","2.1292770619825885","1.6414908887600077","1.6414908887600077","1.6414908887600077","2.13817609873685","2.13817609873685","2.13817609873685","1.6454602139571617","1.6454602139571617","1.6454602139571617","2.2162956003709273","2.2162956003709273","2.2162956003709273","1.682517325357459","1.682517325357459","1.682517325357459","2.1126280463825573","2.1126280463825573","2.1126280463825573","1.7374619875283077","1.7374619875283077","1.7374619875283077","2.055249796780673","2.055249796780673","2.055249796780673","1.8649117015970165","1.8649117015970165","1.8649117015970165","2.134533209367232","2.134533209367232","2.134533209367232","2.059694252781484","2.059694252781484","2.059694252781484","2.1697519744526255","2.1697519744526255","2.1697519744526255","2.1104801174689984","2.1104801174689984","2.1104801174689984"
"23","2.2174569736827503","2.2174569736827503","2.2174569736827503","1.6108323868937875","1.6108323868937875","1.6108323868937875","2.1497250010750513","2.1497250010750513","2.1497250010750513","1.5862453373547258","1.5862453373547258","1.5862453373547258","2.1404239463806154","2.1404239463806154","2.1404239463806154","1.6725487857029355","1.6725487857029355","1.6725487857029355","2.1100827459855513","2.1100827459855513","2.1100827459855513","1.7136898225477373","1.7136898225477373","1.7136898225477373","2.0630592250823976","2.0630592250823976","2.0630592250823976","1.8599043459179758","1.8599043459179758","1.8599043459179758","2.131720438870517","2.131720438870517","2.131720438870517","2.0597181100954955","2.0597181100954955","2.0597181100954955","2.163409998633645","2.163409998633645","2.163409998633645","2.103072319798086","2.103072319798086","2.103072319798086"
"24","2.1371792784604158","2.1371792784604158","2.1371792784604158","1.5748012457222773","1.5748012457222773","1.5748012457222773","2.259035357995467","2.259035357995467","2.259035357995467","1.5296109191850684","1.5296109191850684","1.5296109191850684","2.1365371530706234","2.1365371530706234","2.1365371530706234","1.6285966736694861","1.6285966736694861","1.6285966736694861","2.112506421696056","2.112506421696056","2.112506421696056","1.704586985631921","1.704586985631921","1.704586985631921","2.05602521202781","2.05602521202781","2.05602521202781","1.851672955436268","1.851672955436268","1.851672955436268","2.1289566222104157","2.1289566222104157","2.1289566222104157","2.0514088017913115","2.0514088017913115","2.0514088017913115","2.1477310804887253","2.1477310804887253","2.1477310804887253","2.10425317435429","2.10425317435429","2.10425317435429"
"25","2.203880543275313","2.203880543275313","2.203880543275313","1.4946982231359371","1.4946982231359371","1.4946982231359371","2.2486342109333384","2.2486342109333384","2.2486342109333384","1.536023625395764","1.536023625395764","1.536023625395764","2.206971472826871","2.206971472826871","2.206971472826871","1.6222865554108017","1.6222865554108017","1.6222865554108017","2.1213891185413707","2.1213891185413707","2.1213891185413707","1.683554435708057","1.683554435708057","1.683554435708057","2.0613481226834383","2.0613481226834383","2.0613481226834383","1.8412885322790036","1.8412885322790036","1.8412885322790036","2.122645299217918","2.122645299217918","2.122645299217918","2.052596143086751","2.052596143086751","2.052596143086751","2.1484548594734885","2.1484548594734885","2.1484548594734885","2.092288292194235","2.092288292194235","2.092288292194235"
"26","2.3863069265538996","2.3863069265538996","2.3863069265538996","1.5125967346936806","1.5125967346936806","1.5125967346936806","2.214478239579634","2.214478239579634","2.214478239579634","1.4976188005798166","1.4976188005798166","1.4976188005798166","2.2364325349981136","2.2364325349981136","2.2364325349981136","1.5842129316001103","1.5842129316001103","1.5842129316001103","2.1189827901666813","2.1189827901666813","2.1189827901666813","1.645963046632964","1.645963046632964","1.645963046632964","2.0772212999517268","2.0772212999517268","2.0772212999517268","1.829982466204413","1.829982466204413","1.829982466204413","2.1352122020721436","2.1352122020721436","2.1352122020721436","2.04857291736822","2.04857291736822","2.04857291736822","2.1459433338858864","2.1459433338858864","2.1459433338858864","2.0846162797116685","2.0846162797116685","2.0846162797116685"
"27","2.334524494084445","2.334524494084445","2.334524494084445","1.5006638706141504","1.5006638706141504","1.5006638706141504","2.259389683116566","2.259389683116566","2.259389683116566","1.4759112488538368","1.4759112488538368","1.4759112488538368","2.129529236013239","2.129529236013239","2.129529236013239","1.5647021084818347","1.5647021084818347","1.5647021084818347","2.1612348105690695","2.1612348105690695","2.1612348105690695","1.6425467263145008","1.6425467263145008","1.6425467263145008","2.0577068797024816","2.0577068797024816","2.0577068797024816","1.8120591250781355","1.8120591250781355","1.8120591250781355","2.136129831834273","2.136129831834273","2.136129831834273","2.046865023908944","2.046865023908944","2.046865023908944","2.1466424257105046","2.1466424257105046","2.1466424257105046","2.0848294459814314","2.0848294459814314","2.0848294459814314"
"28","2.2606544217196376","2.2606544217196376","2.2606544217196376","1.4572717428207398","1.4572717428207398","1.4572717428207398","2.15560301694003","2.15560301694003","2.15560301694003","1.443727459797914","1.443727459797914","1.443727459797914","2.230807276639071","2.230807276639071","2.230807276639071","1.537680766829129","1.537680766829129","1.537680766829129","2.149019693027843","2.149019693027843","2.149019693027843","1.6238892407252872","1.6238892407252872","1.6238892407252872","2.0663136716322463","2.0663136716322463","2.0663136716322463","1.7981033919871539","1.7981033919871539","1.7981033919871539","2.138353178284385","2.138353178284385","2.138353178284385","2.0406640321906955","2.0406640321906955","2.0406640321906955","2.145139102068814","2.145139102068814","2.145139102068814","2.079111620804359","2.079111620804359","2.079111620804359"
"29","2.2819253305955365","2.2819253305955365","2.2819253305955365","1.3978831598676484","1.3978831598676484","1.3978831598676484","2.259170769778165","2.259170769778165","2.259170769778165","1.4365391712079103","1.4365391712079103","1.4365391712079103","2.267443961230191","2.267443961230191","2.267443961230191","1.546850429732224","1.546850429732224","1.546850429732224","2.1416016951474277","2.1416016951474277","2.1416016951474277","1.6064909835245418","1.6064909835245418","1.6064909835245418","2.0716556583751333","2.0716556583751333","2.0716556583751333","1.7952200538810643","1.7952200538810643","1.7952200538810643","2.124782341176813","2.124782341176813","2.124782341176813","2.0327008323011726","2.0327008323011726","2.0327008323011726","2.1380536712299696","2.1380536712299696","2.1380536712299696","2.0776133234747527","2.0776133234747527","2.0776133234747527"
