"Step","Width only variation : 2048 - test_accuracy","Width only variation : 2048 - test_accuracy__MIN","Width only variation : 2048 - test_accuracy__MAX","Width only variation : 2048 - train_accuracy","Width only variation : 2048 - train_accuracy__MIN","Width only variation : 2048 - train_accuracy__MAX","Width only variation : 1024 - test_accuracy","Width only variation : 1024 - test_accuracy__MIN","Width only variation : 1024 - test_accuracy__MAX","Width only variation : 1024 - train_accuracy","Width only variation : 1024 - train_accuracy__MIN","Width only variation : 1024 - train_accuracy__MAX","Width only variation : 512 - test_accuracy","Width only variation : 512 - test_accuracy__MIN","Width only variation : 512 - test_accuracy__MAX","Width only variation : 512 - train_accuracy","Width only variation : 512 - train_accuracy__MIN","Width only variation : 512 - train_accuracy__MAX","Width only variation : 256 - test_accuracy","Width only variation : 256 - test_accuracy__MIN","Width only variation : 256 - test_accuracy__MAX","Width only variation : 256 - train_accuracy","Width only variation : 256 - train_accuracy__MIN","Width only variation : 256 - train_accuracy__MAX","Width only variation : 128 - test_accuracy","Width only variation : 128 - test_accuracy__MIN","Width only variation : 128 - test_accuracy__MAX","Width only variation : 128 - train_accuracy","Width only variation : 128 - train_accuracy__MIN","Width only variation : 128 - train_accuracy__MAX","Width only variation : 64 - test_accuracy","Width only variation : 64 - test_accuracy__MIN","Width only variation : 64 - test_accuracy__MAX","Width only variation : 64 - train_accuracy","Width only variation : 64 - train_accuracy__MIN","Width only variation : 64 - train_accuracy__MAX","Width only variation : 32 - test_accuracy","Width only variation : 32 - test_accuracy__MIN","Width only variation : 32 - test_accuracy__MAX","Width only variation : 32 - train_accuracy","Width only variation : 32 - train_accuracy__MIN","Width only variation : 32 - train_accuracy__MAX"
"20","0.215","0.215","0.215","0.22367816091954024","0.22367816091954024","0.22367816091954024","0.23227272727272727","0.23227272727272727","0.23227272727272727","0.21597701149425289","0.21597701149425289","0.21597701149425289","0.23454545454545456","0.23454545454545456","0.23454545454545456","0.20436781609195404","0.20436781609195404","0.20436781609195404","0.2459090909090909","0.2459090909090909","0.2459090909090909","0.20758620689655172","0.20758620689655172","0.20758620689655172","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.2081609195402299","0.2081609195402299","0.2081609195402299","0.16863636363636364","0.16863636363636364","0.16863636363636364","0.15091954022988505","0.15091954022988505","0.15091954022988505","0.2177272727272727","0.2177272727272727","0.2177272727272727","0.19655172413793104","0.19655172413793104","0.19655172413793104"
"21","0.2431818181818182","0.2431818181818182","0.2431818181818182","0.22252873563218392","0.22252873563218392","0.22252873563218392","0.23363636363636364","0.23363636363636364","0.23363636363636364","0.21827586206896551","0.21827586206896551","0.21827586206896551","0.2290909090909091","0.2290909090909091","0.2290909090909091","0.21","0.21","0.21","0.24863636363636363","0.24863636363636363","0.24863636363636363","0.2125287356321839","0.2125287356321839","0.2125287356321839","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.2113793103448276","0.2113793103448276","0.2113793103448276","0.1668181818181818","0.1668181818181818","0.1668181818181818","0.15057471264367817","0.15057471264367817","0.15057471264367817","0.20363636363636364","0.20363636363636364","0.20363636363636364","0.18988505747126436","0.18988505747126436","0.18988505747126436"
"22","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.21827586206896551","0.21827586206896551","0.21827586206896551","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.20942528735632185","0.20942528735632185","0.20942528735632185","0.24045454545454545","0.24045454545454545","0.24045454545454545","0.21402298850574714","0.21402298850574714","0.21402298850574714","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.21413793103448275","0.21413793103448275","0.21413793103448275","0.24181818181818182","0.24181818181818182","0.24181818181818182","0.21057471264367816","0.21057471264367816","0.21057471264367816","0.16454545454545455","0.16454545454545455","0.16454545454545455","0.1489655172413793","0.1489655172413793","0.1489655172413793","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.20172413793103447","0.20172413793103447","0.20172413793103447"
"23","0.2359090909090909","0.2359090909090909","0.2359090909090909","0.22954022988505748","0.22954022988505748","0.22954022988505748","0.2390909090909091","0.2390909090909091","0.2390909090909091","0.21459770114942528","0.21459770114942528","0.21459770114942528","0.2531818181818182","0.2531818181818182","0.2531818181818182","0.21770114942528734","0.21770114942528734","0.21770114942528734","0.23727272727272727","0.23727272727272727","0.23727272727272727","0.21482758620689654","0.21482758620689654","0.21482758620689654","0.24136363636363636","0.24136363636363636","0.24136363636363636","0.20896551724137932","0.20896551724137932","0.20896551724137932","0.16772727272727272","0.16772727272727272","0.16772727272727272","0.1511494252873563","0.1511494252873563","0.1511494252873563","0.22181818181818183","0.22181818181818183","0.22181818181818183","0.19712643678160918","0.19712643678160918","0.19712643678160918"
"24","0.24","0.24","0.24","0.2228735632183908","0.2228735632183908","0.2228735632183908","0.25","0.25","0.25","0.22413793103448276","0.22413793103448276","0.22413793103448276","0.25545454545454543","0.25545454545454543","0.25545454545454543","0.2217241379310345","0.2217241379310345","0.2217241379310345","0.23227272727272727","0.23227272727272727","0.23227272727272727","0.21045977011494252","0.21045977011494252","0.21045977011494252","0.24363636363636362","0.24363636363636362","0.24363636363636362","0.2110344827586207","0.2110344827586207","0.2110344827586207","0.16863636363636364","0.16863636363636364","0.16863636363636364","0.15356321839080458","0.15356321839080458","0.15356321839080458","0.21272727272727274","0.21272727272727274","0.21272727272727274","0.19873563218390805","0.19873563218390805","0.19873563218390805"
"25","0.25227272727272726","0.25227272727272726","0.25227272727272726","0.2218390804597701","0.2218390804597701","0.2218390804597701","0.22863636363636364","0.22863636363636364","0.22863636363636364","0.22149425287356322","0.22149425287356322","0.22149425287356322","0.23363636363636364","0.23363636363636364","0.23363636363636364","0.21850574712643678","0.21850574712643678","0.21850574712643678","0.24","0.24","0.24","0.21114942528735633","0.21114942528735633","0.21114942528735633","0.24363636363636362","0.24363636363636362","0.24363636363636362","0.217816091954023","0.217816091954023","0.217816091954023","0.16454545454545455","0.16454545454545455","0.16454545454545455","0.15172413793103448","0.15172413793103448","0.15172413793103448","0.22045454545454546","0.22045454545454546","0.22045454545454546","0.19586206896551725","0.19586206896551725","0.19586206896551725"
"26","0.24818181818181817","0.24818181818181817","0.24818181818181817","0.2171264367816092","0.2171264367816092","0.2171264367816092","0.2240909090909091","0.2240909090909091","0.2240909090909091","0.2160919540229885","0.2160919540229885","0.2160919540229885","0.23136363636363635","0.23136363636363635","0.23136363636363635","0.20919540229885059","0.20919540229885059","0.20919540229885059","0.24636363636363637","0.24636363636363637","0.24636363636363637","0.20988505747126437","0.20988505747126437","0.20988505747126437","0.245","0.245","0.245","0.2045977011494253","0.2045977011494253","0.2045977011494253","0.16863636363636364","0.16863636363636364","0.16863636363636364","0.1550574712643678","0.1550574712643678","0.1550574712643678","0.225","0.225","0.225","0.19528735632183908","0.19528735632183908","0.19528735632183908"
"27","0.23545454545454544","0.23545454545454544","0.23545454545454544","0.22298850574712645","0.22298850574712645","0.22298850574712645","0.245","0.245","0.245","0.2260919540229885","0.2260919540229885","0.2260919540229885","0.24363636363636362","0.24363636363636362","0.24363636363636362","0.21850574712643678","0.21850574712643678","0.21850574712643678","0.23454545454545456","0.23454545454545456","0.23454545454545456","0.21413793103448275","0.21413793103448275","0.21413793103448275","0.24454545454545454","0.24454545454545454","0.24454545454545454","0.21229885057471265","0.21229885057471265","0.21229885057471265","0.16590909090909092","0.16590909090909092","0.16590909090909092","0.15471264367816093","0.15471264367816093","0.15471264367816093","0.22818181818181818","0.22818181818181818","0.22818181818181818","0.19827586206896552","0.19827586206896552","0.19827586206896552"
"28","0.245","0.245","0.245","0.2210344827586207","0.2210344827586207","0.2210344827586207","0.24454545454545454","0.24454545454545454","0.24454545454545454","0.21747126436781608","0.21747126436781608","0.21747126436781608","0.24227272727272728","0.24227272727272728","0.24227272727272728","0.2181609195402299","0.2181609195402299","0.2181609195402299","0.245","0.245","0.245","0.21471264367816092","0.21471264367816092","0.21471264367816092","0.22590909090909092","0.22590909090909092","0.22590909090909092","0.21620689655172415","0.21620689655172415","0.21620689655172415","0.16727272727272727","0.16727272727272727","0.16727272727272727","0.1481609195402299","0.1481609195402299","0.1481609195402299","0.23","0.23","0.23","0.197816091954023","0.197816091954023","0.197816091954023"
"29","0.24772727272727274","0.24772727272727274","0.24772727272727274","0.2303448275862069","0.2303448275862069","0.2303448275862069","0.22954545454545455","0.22954545454545455","0.22954545454545455","0.22724137931034483","0.22724137931034483","0.22724137931034483","0.26181818181818184","0.26181818181818184","0.26181818181818184","0.21632183908045977","0.21632183908045977","0.21632183908045977","0.23954545454545453","0.23954545454545453","0.23954545454545453","0.2071264367816092","0.2071264367816092","0.2071264367816092","0.225","0.225","0.225","0.21413793103448275","0.21413793103448275","0.21413793103448275","0.16772727272727272","0.16772727272727272","0.16772727272727272","0.14862068965517242","0.14862068965517242","0.14862068965517242","0.2240909090909091","0.2240909090909091","0.2240909090909091","0.20080459770114942","0.20080459770114942","0.20080459770114942"
