"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"105","0.6660839319229126","0.6660839319229126","0.6660839319229126","210","210","210"
"106","0.6175699234008789","0.6175699234008789","0.6175699234008789","212","212","212"
"107","0.6000874042510986","0.6000874042510986","0.6000874042510986","214","214","214"
"108","0.6114510297775269","0.6114510297775269","0.6114510297775269","216","216","216"
"109","0.6735140085220337","0.6735140085220337","0.6735140085220337","218","218","218"
"110","0.6979895234107971","0.6979895234107971","0.6979895234107971","220","220","220"
"111","0.7032342553138733","0.7032342553138733","0.7032342553138733","222","222","222"
"112","0.5651223659515381","0.5651223659515381","0.5651223659515381","224","224","224"
"113","0.6289335489273071","0.6289335489273071","0.6289335489273071","226","226","226"
"114","0.6638985872268677","0.6638985872268677","0.6638985872268677","228","228","228"
"115","0.6984265446662903","0.6984265446662903","0.6984265446662903","230","230","230"
"116","0.6411713361740112","0.6411713361740112","0.6411713361740112","232","232","232"
"117","0.7014859914779663","0.7014859914779663","0.7014859914779663","234","234","234"
"118","0.685751736164093","0.685751736164093","0.685751736164093","236","236","236"
"119","0.6634615659713745","0.6634615659713745","0.6634615659713745","238","238","238"
"120","0.7084790468215942","0.7084790468215942","0.7084790468215942","240","240","240"
"121","0.7058566212654114","0.7058566212654114","0.7058566212654114","242","242","242"
"122","0.6560314893722534","0.6560314893722534","0.6560314893722534","244","244","244"
"123","0.7041084170341492","0.7041084170341492","0.7041084170341492","246","246","246"
"124","0.5961538553237915","0.5961538553237915","0.5961538553237915","248","248","248"
"125","0.693618893623352","0.693618893623352","0.693618893623352","250","250","250"
"126","0.695367157459259","0.695367157459259","0.695367157459259","252","252","252"
"127","0.7176573276519775","0.7176573276519775","0.7176573276519775","254","254","254"
"128","0.7036713361740112","0.7036713361740112","0.7036713361740112","256","256","256"
"129","0.6184440851211548","0.6184440851211548","0.6184440851211548","258","258","258"
