"epoch","Test all epochs - train_acc","Test all epochs - train_acc__MIN","Test all epochs - train_acc__MAX","Test all epochs - _step","Test all epochs - _step__MIN","Test all epochs - _step__MAX","Test all epochs - test_acc","Test all epochs - test_acc__MIN","Test all epochs - test_acc__MAX","All epochs with augmentation - train_acc","All epochs with augmentation - train_acc__MIN","All epochs with augmentation - train_acc__MAX","All epochs with augmentation - _step","All epochs with augmentation - _step__MIN","All epochs with augmentation - _step__MAX","All epochs with augmentation - test_acc","All epochs with augmentation - test_acc__MIN","All epochs with augmentation - test_acc__MAX"
"91","0.38499999046325684","0.38499999046325684","0.38499999046325684","182.5","182","183","0.27010488510131836","0.27010488510131836","0.27010488510131836","0.23000000417232513","0.23000000417232513","0.23000000417232513","182.5","182","183","0.20935314893722534","0.20935314893722534","0.20935314893722534"
"92","0.39750000834465027","0.39750000834465027","0.39750000834465027","184.5","184","185","0.27185314893722534","0.27185314893722534","0.27185314893722534","0.15000000596046448","0.15000000596046448","0.15000000596046448","184.5","184","185","0.20454545319080353","0.20454545319080353","0.20454545319080353"
"93","0.3774999976158142","0.3774999976158142","0.3774999976158142","186.5","186","187","0.26923078298568726","0.26923078298568726","0.26923078298568726","0.1899999976158142","0.1899999976158142","0.1899999976158142","186.5","186","187","0.20585663616657257","0.20585663616657257","0.20585663616657257"
"94","0.3799999952316284","0.3799999952316284","0.3799999952316284","188.5","188","189","0.27272728085517883","0.27272728085517883","0.27272728085517883","0.17000000178813934","0.17000000178813934","0.17000000178813934","188.5","188","189","0.20847901701927185","0.20847901701927185","0.20847901701927185"
"95","0.36000001430511475","0.36000001430511475","0.36000001430511475","190.5","190","191","0.2696678340435028","0.2696678340435028","0.2696678340435028","0.1599999964237213","0.1599999964237213","0.1599999964237213","190.5","190","191","0.20760490000247955","0.20760490000247955","0.20760490000247955"
"96","0.4050000011920929","0.4050000011920929","0.4050000011920929","192.5","192","193","0.27097901701927185","0.27097901701927185","0.27097901701927185","0.18000000715255737","0.18000000715255737","0.18000000715255737","192.5","192","193","0.2071678340435028","0.2071678340435028","0.2071678340435028"
"97","0.38749998807907104","0.38749998807907104","0.38749998807907104","194.5","194","195","0.2740384638309479","0.2740384638309479","0.2740384638309479","0.17000000178813934","0.17000000178813934","0.17000000178813934","194.5","194","195","0.20585663616657257","0.20585663616657257","0.20585663616657257"
"98","0.38749998807907104","0.38749998807907104","0.38749998807907104","196.5","196","197","0.2753496468067169","0.2753496468067169","0.2753496468067169","0.16249999403953552","0.16249999403953552","0.16249999403953552","196.5","196","197","0.2089160829782486","0.2089160829782486","0.2089160829782486"
"99","0.3799999952316284","0.3799999952316284","0.3799999952316284","198.5","198","199","0.2740384638309479","0.2740384638309479","0.2740384638309479","0.17000000178813934","0.17000000178813934","0.17000000178813934","198.5","198","199","0.20847901701927185","0.20847901701927185","0.20847901701927185"
"100","0.4124999940395355","0.4124999940395355","0.4124999940395355","200.5","200","201","0.2770979106426239","0.2770979106426239","0.2770979106426239","0.1850000023841858","0.1850000023841858","0.1850000023841858","200.5","200","201","0.21328671276569366","0.21328671276569366","0.21328671276569366"
